,model,avg_loss,avg_acc
0,1 bilstm layer,0.1869465410709381,0.9494693279266357
1,3 bilstm layers,0.19411499798297882,0.9523339668909708
2,2 bilstm layers,0.1802974740664164,0.956983188788096
